Songs,"I-words(I, me, my)",Positive Tone,Negative Tone,Social Words,Cognitive Processes,Allure,Moralization,Analytic,Authentic,,,,,,,,,,,
SICKO MODE - TRAVIS SCOTT,7,2.2,1.43,8.3,5.19,9.73,0,60.73,53.09,,,,,,,,,,,
MASK OFF - FUTURE,4.45,0.97,0.39,11.41,3.29,7.35,0,57.91,54.64,,,,,,,,,,,
JUMP - VAN HALEN,9.04,2.82,1.13,10.17,14.69,14.12,0,4.07,100,,,,,,,,,,,
FREAK ON A LEASH - KORN,11.91,1.57,4.7,4.39,15.67,10.66,0.63,31.58,91.57,,,,,,,,,,,
THUNDER - IMAGINE DRAGONS,7.94,1.32,1.59,5.03,9.26,6.08,0,73.69,79.97,,8.946,2.074,4.646,8.258,7.44,8.63,2.306,39.75,79.552,#DIV/0!
"YOUNG, DUMB AND BROKE - KHALID",4.43,4.06,18.45,9.96,4.8,9.96,11.07,22.4,96.91,,,,,,,,,,,
BODAK YELLOW - CARDI B,13.22,2.3,1.72,9.77,10.49,11.21,0,10.97,87.38,,,,,,,,,,,
POPSTAR - DJ KHALED,10.95,1.44,0.36,7.36,6.82,8.26,0.18,57.15,71.1,,,,,,,,,,,
WISHFUL THINKING - BENEE,6.62,3.31,4.04,9.93,18.01,15.81,0,1.96,99.67,,,,,,,,,,,
"RISE - MAKO, LEAGUE OF LEGENDS",0,1.85,0.74,12.59,8.15,12.59,0.37,21.35,99.94,,,,,,,,,,,
TAKE IT BACK - DENZEL CURRY,4.06,2.13,2.71,6.58,5.61,11.61,0,53.86,82.22,,,,,,,,,,,
AS LONG AS I HAVE YOU - DOVE CAMERON,13.12,2.48,2.48,8.51,7.8,17.73,0,4.97,99.71,,,,,,,,,,,
SAY HEY - MICHAEL FRANTI,15.46,5.67,0.52,15.29,7.22,18.73,0,27.62,99.9,,,,,,,,,,,
COME BACK HOME - SOFIA CARSON,13.36,2.74,4.45,8.9,13.36,13.36,0,1.22,100,,,,,,,,,,,
SANTA BABY - EARTHA KITT,6.83,3.9,0.49,9.27,7.8,4.88,0,74.66,95.25,,,,,,,,,,,
MAN IN THE MIRROR - MICHAEL JACKSON,4.82,2.7,0.77,12.91,19.27,21.39,0.19,56.35,82.71,,,,,,,,,,,
BURNING PILE - MOTHER MOTHER,12.98,2.11,3.51,3.51,6.32,5.61,0,59.66,95.34,,,,,,,,,,,
BOHEMIAN RHAPSODY - QUEEN,8.65,1.08,2.7,10.54,12.43,16.49,0,11.05,99.29,,,,,,,,,,,
